"ISO4014range"
"Dia","Min_L","Max_L"
"M1.6","12","16"
"M2","16","20"
"M2.5","16","25"
"M3","20","30"
"(M3.5)","20","35"
"M4","25","50"
"M5","25","50"
"M6","30","130"
"M8","30","180"
"M10","35","150"
"M12","50","150"
"(M14)","50","160"
"M16","55","200"
"(M18)","70","180"
"M20","60","300"
"(M22)","70","220"
"M24","80","220"
"(M27)","90","220"
"M30","110","300"
"(M33)","130","320"
"M36","140","360"
"(M39)","150","380"
"M42","160","440"
"(M45)","180","440"
"M48","180","480"
"(M52)","200","480"
"M56","220","500"
"(M60)","220","500"
"M64","260","500"
