"ISO4015def"
"Dia","P","b1","b2","c_max","d_a_max","d_s","d_w_min","e_min","k_nom","k_max","k_min","k_w_min","r_min","s_nom_max","s_min","x_max"
"M3",0.5,12,0,0.4,3.6,2.6,4.72,5.88,2,2.2,1.8,1.26,0.1,5.5,5.2,1.25
"(M3.5)",0.6,13,0,0.4,4.1,3.05,5.22,6.44,2.4,2.6,2.2,1.54,0.1,6,5.7,1.5
"M4",0.7,14,0,0.4,4.7,3.5,6.06,7.5,2.8,3,2.6,1.82,0.2,7,6.64,1.75
"M5",0.8,16,0,0.5,5.7,4.4,7.06,8.63,3.5,3.74,3.26,2.28,0.2,8,7.64,2
"M6",1,18,0,0.5,6.8,5.3,8.74,10.89,4,4.24,3.76,2.63,0.25,10,9.64,2.5
"(M7)",1,20,0,0.6,7.8,6.2,9.47,11.94,4.8,5.04,4.56,3.19,0.25,11,10.57,2.5
"M8",1.25,22,0,0.6,9.2,7.1,11.47,14.2,5.3,5.54,5.06,3.54,0.4,13,12.57,3.2
"M10",1.5,26,0,0.6,11.2,8.9,14.97,17.59,6.9,6.69,6.11,4.28,0.4,16,15.57,3.8
"M12",1.75,30,0,0.6,13.7,10.7,16.47,19.85,7.5,7.79,7.21,5.05,0.6,18,17.57,4.3
"(M14)",2,34,40,0.6,15.7,12.5,19.15,22.78,8.8,9.09,8.51,5.96,0.6,21,20.16,5
"M16",2,38,44,0.8,17.7,14.5,22,26.17,10,10.29,9.71,6.8,0.6,24,23.16,5
"(M18)",2.5,42,48,0.8,20.2,16.3,24.85,29.56,11.5,11.85,11.15,7.81,0.6,27,26.16,6.3
"M20",2.5,46,52,0.8,22.4,18.2,27.7,32.95,12.5,12.85,12.15,8.51,0.8,30,29.16,6.3

"ISO4015length"
"nom","min","max"
"20",18.95,21.05
"25",23.95,26.05
"30",28.95,31.05
"35",33.75,36.25
"40",38.75,41.25
"45",43.75,46.25
"50",48.75,51.25
"55",53.5,56.5
"60",58.5,61.5
"65",63.5,66.5
"70",68.5,71.5
"80",78.5,81.5
"90",88.25,91.75
"100",98.25,101.75
"110",108.25,111.75
"120",118.25,121.75
"130",128,132
"140",138,142
"150",148,152

"ISO4015range"
"Dia","min_L","max_L"
"M3","20","30"
"(M3.5)","20","35"
"M4","20","40"
"M5","25","50"
"M6","25","60"
"(M7)","30","70"
"M8","30","80"
"M10","40","100"
"M12","45","120"
"(M14)","50","140"
"M16","55","150"
"(M18)","60","150"
"M20","65","150"
