"ISO4028def"
"Dia","P","d_p_max","d_p_min","e_min","s_nom","s_max","s_min","td_min","te_min","z_short_max","z_short_min","z_long_max","z_long_min"
"M1.6",0.35,0.8,0.55,0.809,0.7,0.724,0.71,0.7,1.5,0.65,0.4,1.05,0.8
"M2",0.4,1,0.75,1.011,0.9,0.913,0.887,0.8,1.7,0.75,0.5,1.25,1
"M2.5",0.45,1.5,1.25,1.454,1.3,1.3,1.275,1.2,2,0.88,0.63,1.5,1.25
"M3",0.5,2,1.75,1.733,1.5,1.58,1.52,1.2,2,1,0.75,1.75,1.5
"M4",0.7,2.5,2.25,2.303,2,2.08,2.02,1.5,2.5,1.25,1,2.25,2
"M5",0.8,3.5,3.2,2.873,2.5,2.58,2.52,2,3,1.5,1.25,2.75,2.5
"M6",1,4,3.7,3.443,3,3.08,3.02,2,3.5,1.75,1.5,3.25,3
"M8",1.25,5.5,5.2,4.583,4,4095,4.02,3,5,2.25,2,4.3,4
"M10",1.5,7,6.64,5.723,5,5.14,5.02,4,6,2.75,2.5,5.3,5
"M12",1.75,8.5,8.14,6.863,6,6.14,6.02,4.8,8,3.25,3,6.3,6
"M16",2,12,11.57,9.149,8,8.175,8.025,6.4,10,4.3,4,8.36,8
"M20",2.5,15,14.57,11.429,10,10.175,10.025,8,12,5.3,5,10.36,10
"M24",3,18,17.57,13.716,12,12.212,12.032,10,15,6.3,6,12.43,12

"ISO4028length"
"Nominal","Min","Max"
"2",1.8,2.2
"2.5",2.3,2.7
"3",2.8,3.2
"4",3.76,4.24
"5",4.76,5.24
"6",5.76,6.24
"8",7.71,8.29
"10",9.71,10.29
"12",11.65,12.35
"16",15.65,16.35
"20",19.58,20.42
"25",24.58,25.42
"30",29.58,30.42
"35",34.5,35.4
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.4,55.6
"60",59.4,60.6

"ISO4028range"
"Dia","Min_L","Max_L"
"M1.6","2","8"
"M2","2.5","10"
"M2.5","3","12"
"M3","4","16"
"M4","5","30"
"M5","6","25"
"M6","8","30"
"M8","8","40"
"M10","10","50"
"M12","12","60"
"M16","16","60"
"M20","20","60"
"M24","25","60"
