"ISO4034def"
"Dia","P","dummy","d_nom","dw_min","e_min","m_nom","mw","s_nom"
"M5",0.8,0,5,6.7,8.63,4,2.7,8
"M6",1,0,6,8.7,10.89,5,3.5,10
"M8",1.25,0,8,11.5,14.2,6.5,4.6,13
"M10",1.5,0,10,15.5,18.72,8,5.8,17
"M12",1.75,0,12,17.2,20.88,10,7.4,19
"M16",2,0,16,22,26.17,13,9.7,24
"M20",2.5,0,20,22.7,32.95,16,12.1,30
"(M22)",2.5,0,22,29.5,35.03,18,13.7,32
"M24",3,0,24,33.2,39.55,19,14.4,36
"(M27)",3,0,27,38,45.2,22,16.8,41
"M30",3.5,0,30,42.7,50.85,24,18.4,46
"(M33)",3.5,0,33,46.5,55.37,26,20,50
"(M39)",4,0,39,55.9,66.44,31,23.8,60
"M42",4.5,0,42,59.9,71.3,34,26.2,65
"(M45)",4.5,0,45,64.7,76.95,36,27.8,70
"M48",5,0,48,69.4,82.6,38,29.4,75
"(M52)",5,0,52,74.2,88.25,42,32.6,80
"M56",5.5,0,56,78.7,93.56,45,35,85
"(M60)",6,0,60,83.4,99.23,48,37.4,90
"M64",6,0,64,88.2,104.86,51,39.6,95
"M72",6,0,72,97.7,116.16,58,45.2,105
"M80",6,0,80,107.2,127.46,64,50,115
"M90",6,0,90,121.1,144.08,72,56.4,130
"M100",6,0,100,135.4,161.02,80,62.8,145
