"ISO68-1def"
"P","H","5H/8","3H/8","H/4","H/8"
"0.2",0.173205,0.108253,0.064952,0.043301,0.021651
"0.25",0.216506,0.135316,0.08119,0.054127,0.027063
"0.3",0.259808,0.16238,0.097428,0.064952,0.032476
"0.35",0.303109,0.189443,0.113666,0.075777,0.037889
"0.4",0.34641,0.216506,0.129904,0.086603,0.043301
"0.45",0.389711,0.24357,0.146142,0.097428,0.048714
"0.5",0.433013,0.270633,0.16238,0.108253,0.054127
"0.6",0.519615,0.32476,0.194856,0.129904,0.064952
"0.7",0.606218,0.378886,0.227332,0.151554,0.075777
"0.75",0.649519,0.405949,0.24357,0.16238,0.08119
"0.8",0.69282,0.433013,0.259808,0.173205,0.086603
"1.0",0.866025,0.541266,0.32476,0.216506,0.108253
"1.25",1.082532,0.676582,0.405949,0.270633,0.135316
"1.5",1.299038,0.811899,0.487139,0.32476,0.16238
"1.75",1.515544,0.947215,0.568329,0.378886,0.189443
"2.0",1.732051,1.082532,0.649519,0.433013,0.216506
"2.5",2.165063,1.353165,0.811899,0.541266,0.270633
"3.0",2.598076,1.623798,0.974279,0.649519,0.32476
"3.5",3.031089,1.894431,1.136658,0.757772,0.378886
"4.0",3.464102,2.165063,1.299038,0.866025,0.433013
"4.5",3.897114,2.435696,1.461418,0.974279,0.487139
"5.0",4.330127,2.706329,1.623798,1.082532,0.541266
"5.5",4.76314,2.976962,1.786177,1.190785,0.595392
"6.0",5.196152,3.247595,1.948557,1.299038,0.649519
"8.0",6.928203,4.330127,2.598076,1.732051,0.866025
"ISO68-2def"
"n","P","H","5H/8","3H/8","H/4","H/8"
"80",0.3175,0.274955,0.171856,0.103099,0.068732,0.034366
"72",0.352781,0.305511,0.190957,0.114579,0.76378,0.38202
"64",0.396875,0.343713,0.214808,0.12888,0.85928,0.42951
"56",0.453568,0.392811,0.245491,0.147295,0.98196,0.4998
"48",0.529158,0.458267,0.28641,0.171856,0.114579,0.57277
"44",0.577266,0.499923,0.312445,0.187477,0.124993,0.62484
"40",0.635,0.549935,0.343713,0.206223,0.13749,0.68732
"36",0.705561,0.61122,0.381889,0.229133,0.152756,0.76378
"32",0.79375,0.6874,0.429641,0.257785,0.171856,0.85928
"28",0.907136,0.785597,0.4917,0.294615,0.196393,0.98196
"24",1.058342,0.916534,0.572846,0.343713,0.229133,0.114579
"20",1.27,1.099845,0.6874,0.412445,0.274955,0.13749
"18",1.411122,1.2227,0.763778,0.458267,0.305511,0.152756
"16",1.5875,1.374826,0.859257,0.515544,0.343713,0.171856
"14",1.814297,1.571219,0.98215,0.589204,0.392811,0.196393
"13",1.953844,1.69272,1.057554,0.634543,0.42312,0.211506
"12",2.116658,1.83393,1.145667,0.6874,0.458267,0.229133
"11",2.30989,1.999742,1.249832,0.74991,0.499923,0.249961
"10",2.54,2.199716,1.374826,0.82489,0.549935,0.274955
"9",2.822219,2.444115,1.527581,0.916534,0.61122,0.305511
"8",3.175,2.749626,1.718513,1.031113,0.6874,0.343713
"7",3.628568,3.142437,1.9643,1.178408,0.785597,0.392811
"6",4.233342,3.666185,2.291359,1.374826,0.916534,0.458267
"5",5.08,4.399407,2.749626,1.649781,1.099845,0.549935
"4.5",5.644439,4.88823,3.055137,1.83393,1.2227,0.61122
"4",6.35,5.499252,3.43726,2.062226,1.374826,0.6874
