"ISO7045def"
"Dia","P","a","b","dk_max","da","k","r","rf","x","cT","mH","mZ"
"M1.6",0.35,0.7,25,3.2,2.0,1.3,0.1,2.5,0.9,"0",1.7,1.6
"M2",0.4,0.8,25,4.0,2.6,1.6,0.1,3.2,1.0,"0",1.9,2.1
"M2.5",0.45,0.9,25,5.0,3.1,2.1,0.1,4.0,1.1,"1",2.7,2.6
"M3",0.5,1.0,25,5.6,3.6,2.4,0.1,5.0,1.25,"1",3.0,2.8
"(M3.5)",0.6,1.2,38,7.0,4.1,2.6,0.1,6.0,1.5,"2",3.9,3.9
"M4",0.7,1.4,38,8.0,4.7,3.1,0.2,6.5,1.75,"2",4.4,4.3
"M5",0.8,1.6,38,9.5,5.7,3.7,0.2,8.0,2.0,"2",4.9,4.7
"M6",1.0,2.0,38,12.0,6.8,4.6,0.25,10.0,2.5,"3",6.9,6.7
"M8",1.25,2.5,38,16.0,9.2,6.0,0.4,13.0,3.2,"4",9.0,8.8
"M10",1.5,3.0,38,20.0,11.2,7.5,0.4,16.0,3.8,"4",10.1,9.9
