"ISO7049-Cdef"
"ISO7049-Fdef"
"Dia","da_max","dk_max","dk_min","k_max","k_min","r_min","r_f","PH","m_ref","pene_max","pene_min"
"ST2.2",2.8,4,3.7,1.6,1.4,0.1,3.2,"0",1.9,1.2,0.85
"ST2.9",3.5,5.6,5.3,2.4,2.15,0.1,5,"1",3,1.8,1.4
"ST3.5",4.1,7,6.64,2.6,2.35,0.1,6,"2",3.5,1.9,1.4
"ST4.2",4.9,8,7.64,3.1,2.8,0.2,6.5,"2",4.4,2.4,1.9
"ST4.8",5.6,9.5,9.14,3.7,3.4,0.2,8,"2",4.9,2.9,2.4
"ST5.5",6.3,11,10.57,4,3.7,0.25,9,"3",6.4,3.1,2.6
"ST6.3",7.3,12,11.57,4.6,4.3,0.25,10,"3",6.9,3.6,3.1
"ST8",9.2,16,15.57,6,5.6,0.4,13,"4",9,4.7,4.15
"ST9.5",10.7,20,19.48,7.5,7.1,0.4,16,"4",10.1,5.8,5.2

"ISO7049-Rdef"
"Dia","da_max","dk_max","dk_min","k_max","k_min","r_min","r_f","PH","m_ref","pene_max","pene_min"
"ST3.5",4.1,7,6.64,2.6,2.35,0.1,6,"2",3.5,1.9,1.4
"ST4.2",4.9,8,7.64,3.1,2.8,0.2,6.5,"2",4.4,2.4,1.9
"ST4.8",5.6,9.5,9.14,3.7,3.4,0.2,8,"2",4.9,2.9,2.4
"ST5.5",6.3,11,10.57,4,3.7,0.25,9,"3",6.4,3.1,2.6
"ST6.3",7.3,12,11.57,4.6,4.3,0.25,10,"3",6.9,3.6,3.1
"ST8",9.2,16,15.57,6,5.6,0.4,13,"4",9,4.7,4.15

"ISO7049-Clength"
"ISO7049-Rlength"
"Nominal","lmin","lmax"
"4.5",3.7,5.3
"6.5",5.7,7.3
"9.5",8.7,10.3
"13",12.2,13.8
"16",15.2,16.8
"19",18.2,19.8
"22",21.2,22.8
"25",24.2,25.8
"32",30.7,33.3
"38",36.7,39.3
"45",43.7,46.3
"50",48.7,51.3

"ISO7049-Flength"
"Nominal","lmin","lmax"
"4.5",3.7,4.5
"6.5",5.7,6.5
"9.5",8.7,9.5
"13",12.2,13
"16",15.2,16
"19",18.2,19
"22",20.7,22
"25",23.7,25
"32",30.7,32
"38",36.7,38
"45",43.5,45
"50",48.5,50

"ISO7049-Crange"
"ISO7049-Frange"
"ISO7049-Rrange"
"Dia","Min_L","Max_L"
"ST2.2","4.5","16"
"ST2.0","6.5","19"
"ST3.5","9.5","25"
"ST4.2","9.5","32"
"ST4.8","9.5","38"
"ST5.5","13","38"
"ST6.3","13","38"
"ST8","16","50"
"ST9.5","16","50"
