"ISO7379def"
"Dia","P","d1","d3","l2","l3","SW"
"M3",0.5,4,7,7,3,2
"M4",0.7,5,9,8,4,2.5
"M5",0.8,6,10,9.5,4.5,3
"M6",1,8,13,11,5.5,4
"M8",1.25,10,16,13,7,5
"M10",1.5,12,18,16,9,6
"M12",1.75,16,24,18,11,8
"M16",2,20,30,22,14,10
"M20",2.5,24,36,27,16,12

"ISO7379length"
"Nominal","Min","Max"
"4",3.76,4.24
"5",4.76,5.24
"6",5.76,6.24
"8",7.71,8.29
"10",9.71,10.29
"12",11.65,12.35
"16",15.65,16.35
"20",19.58,20.42
"25",24.58,25.42
"30",29.58,30.42
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.4,55.6
"60",59.4,60.6
"65",64.4,65.6
"70",69.4,70.6
"80",79.4,80.6
"90",89.4,90.6
"100",99.3,100.7

"ISO7379range"
"Dia","Min_L","Max_L"
"M3","4","30"
"M4","5","40"
"M5","10","80"
"M6","16","100"
"M8","16","100"
"M10","16","100"
"M12","25","100"
"M16","30","100"
"M20","50","100"
