"ISO7380-1def"
"Dia","P","b","a","da","dk","dk_mean","s_mean","t_min","r","k","e","w"
"M3",0.5,18.0,1.0,3.6,5.7,5.5,2.03,1.04,0.1,1.65,2.3,0.2
"M4",0.7,20.0,1.4,4.7,7.6,7.4,2.54,1.3,0.2,2.2,2.87,0.3
"M5",0.8,22.0,1.6,5.7,9.5,9.3,3.05,1.56,0.2,2.75,3.44,0.38
"M6",1.0,24.0,2.0,6.8,10.5,10.3,4.05,2.08,0.25,3.3,4.58,0.74
"M8",1.25,28.0,2.5,9.2,14.0,13.8,5.05,2.6,0.4,4.4,5.72,1.05
"M10",1.5,32.0,3.0,11.2,17.5,17.3,6.05,3.12,0.4,5.5,6.86,1.45
"M12",1.75,36.0,3.5,13.7,21.0,20.7,8.06,4.16,0.6,6.6,9.15,1.63
"M16",2.0,44.0,3.5,17.7,28.0,27.8,10.06,5.2,0.6,8.8,11.43,2.25

"ISO7380-2def"
"Dia","P","b","c","da","dk","dk_c","s_mean","t_min","r","k","e","w"
"M3",0.5,18.0,0.7,3.6,5.2,6.9,2.03,1.04,0.1,1.65,2.3,0.2
"M4",0.7,20.0,0.8,4.7,7.2,9.4,2.54,1.3,0.2,2.2,2.87,0.3
"M5",0.8,22.0,1.0,5.7,8.8,11.8,3.05,1.56,0.2,2.75,3.44,0.38
"M6",1.0,24.0,1.2,6.8,10.0,13.6,4.05,2.08,0.25,3.3,4.58,0.74
"M8",1.25,28.0,1.5,9.2,13.2,17.8,5.05,2.6,0.4,4.4,5.72,1.05
"M10",1.5,32.0,2.0,11.2,16.5,21.9,6.05,3.12,0.4,5.5,6.86,1.45
"M12",1.75,36.0,2.4,13.7,19.4,26.0,8.06,4.16,0.6,6.6,9.15,1.63
"M16",2.0,44.0,2.8,17.7,26.0,34.0,10.06,5.2,0.6,8.8,11.43,2.25

"ISO7380-1length"
"ISO7380-2length"
"Nominal","Min","Max"
"4",3.76,4.24
"5",4.76,5.24
"6",5.76,6.24
"8",7.71,8.29
"10",9.71,10.29
"12",11.65,12.35
"14",13.65,14.35
"16",15.65,16.35
"20",19.58,20.42
"25",24.58,25.42
"30",29.58,30.42
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.05,55.95
"60",59.05,60.95
"65",64.4,65.6
"70",69.4,70.6
"80",79.4,80.6
"90",89.3,90.7

"ISO7380-1range"
"ISO7380-2range"
"Dia","Min_L","Max_L"
"M3","6","30"
"M4","6","40"
"M5","8","50"
"M6","10","60"
"M8","12","80"
"M10","16","90"
"M12","20","90"
"M16","25","90"
