"ISO7434def"
"Dia","dt_max","n_nom","n_min","n_max","t_nom_min","t_max"
"M1.2",0.12,0.2,0.26,0.4,0.4,0.52
"M1.6",0.16,0.25,0.31,0.45,0.56,0.74
"M2",0.2,0.25,0.31,0.45,0.64,0.84
"M2.5",0.25,0.4,0.46,0.6,0.72,0.95
"M3",0.3,0.4,0.46,0.6,0.8,1.05
"(M3.5)",0.35,0.5,0.56,0.7,0.96,1.21
"M4",0.4,0.6,0.66,0.8,1.12,1.42
"M5",0.5,0.8,0.86,1,1.25,1.63
"M6",1.5,1,1.06,1.2,1.6,2
"M8",2,1.2,1.26,1.51,2,2.5
"M10",2.5,1.6,1.66,1.91,2.4,3
"M12",3,2,2.06,2.31,2.8,3.6

"ISO7434length"
"Nominal","Min","Max"
"2.5",2.3,2.7
"3",2.8,3.2
"3.5",3.26,3.74
"4",3.76,4.24
"5",4.76,5.24
"6",5.76,6.24
"8",7.71,8.29
"10",9.71,10.29
"12",11.65,12.35
"14",11.65,12.35
"16",15.65,16.35
"20",19.58,20.42
"25",24.58,25.42
"30",29.58,30.42
"35",34.5,35.4
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.4,55.6
"60",59.4,60.6

"ISO7434range"
"Dia","Min_L","Max_L"
"M1.2","2","6"
"M1.6","2","8"
"M2","3","10"
"M2.5","3","12"
"M3","4","16"
"M3.5","5","20"
"M4","6","20"
"M5","8","25"
"M6","8","30"
"M8","10","40"
"M10","12","50"
"M12","14","60"
