"ISO8673def"
"Dia","P","c","damax","dw","e","m","mw","s_nom"
"M8x1",1.0,0.3,8.75,11.63,14.38,6.8,5.15,13.0
"M10x1",1.0,0.3,10.8,14.63,17.77,8.4,6.43,16.0
"(M10x1.25)",1.0,0.3,10.8,14.63,17.77,8.4,6.43,16.0
"(M12x1.25)",1.25,0.3,13.0,16.63,20.03,10.8,8.3,18.0
"M12x1.5",1.5,0.3,13.0,16.63,20.03,10.8,8.3,18.0
"(M14x1.5)",1.5,0.3,15.1,19.64,23.36,12.8,9.68,21.0
"M16x1.5",1.5,0.4,17.3,22.49,26.75,14.8,11.28,24.0
"(M18x1.5)",1.5,0.4,19.5,24.85,29.56,15.8,12.08,27.0
"M20x1.5",1.5,0.4,21.6,27.7,32.95,18.0,13.52,30.0
"(M20x2)",1.5,0.4,21.6,27.7,32.95,18.0,13.52,30.0
"(M22x1.5)",1.5,0.4,23.7,31.35,37.29,19.4,14.48,34.0
"M24x2",2.0,0.4,25.9,33.25,39.55,21.5,16.16,36.0
"(M27x2)",2.0,0.4,29.1,38.0,45.2,23.8,18.0,41.0
"M30x2",2.0,0.4,32.4,42.75,50.85,25.6,19.44,46.0
"(M33x2)",2.0,0.4,35.6,46.55,55.37,28.7,21.92,50.0
"M36x3",3.0,0.4,38.9,51.22,60.79,31.0,23.52,55.0
"(M39x3)",3.0,0.5,42.1,55.86,66.44,33.4,25.44,60.0
"M42x3",3.0,0.5,45.4,59.95,71.3,34.0,25.92,65.0
"(M45x3)",3.0,0.5,48.6,64.7,76.95,36.0,27.52,70.0
"M48x3",3.0,0.5,51.8,69.45,82.6,38.0,29.12,75.0
"(M52x4)",4.0,0.5,56.2,74.2,88.25,42.0,32.32,80.0
"M56x4",4.0,0.5,60.5,78.66,93.56,45.0,34.72,85.0
"(M60x4)",4.0,0.5,64.8,82.41,99.21,48.0,37.12,90.0
"M64x4",4.0,0.5,69.1,88.16,104.86,51.0,39.28,95.0
