"ISO8676def"
"Dia","P","c","dw","e","k","r","s"
"M8x1",1.0,0.3,11.63,14.38,5.3,0.4,13.0
"M10x1",1.0,0.3,14.63,17.77,6.4,0.4,15.0
"(M10x1.25)",1.25,0.3,14.63,17.77,6.4,0.4,15.0
"M12x1.5",1.5,0.3,16.63,20.03,7.5,0.6,18.0
"(M12x1.25)",1.25,0.3,16.63,20.03,7.5,0.6,18.0
"(M14x1.5)",1.5,0.3,19.64,23.36,8.8,0.6,21.0
"M16x1.5",1.5,0.4,22.49,26.75,10.0,0.6,24.0
"(M18x1.5)",1.5,0.4,25.34,30.14,11.5,0.6,27.0
"M20x1.5",1.5,0.4,28.19,33.53,12.5,0.8,30.0
"(M20x2)",2.0,0.4,28.19,33.53,12.5,0.8,30.0
"(M22x1.5)",1.5,0.4,31.71,37.72,14.0,0.8,34.0
"M24x2",2.0,0.4,33.61,39.98,15.0,0.8,36.0
"(M27x2)",2.0,0.4,38.0,45.2,17.0,1.0,41.0
"M30x2",2.0,0.4,42.75,50.85,18.7,1.0,46.0
"(M33x2)",2.0,0.4,46.55,55.37,21.0,1.0,50.0
"M36x3",3.0,0.4,51.11,60.79,22.5,1.0,55.0
"(M39x3)",3.0,0.5,55.86,66.44,25.0,1.0,60.0
"M42x3",3.0,0.5,59.95,71.3,26.0,1.2,65.0
"(M45x3)",3.0,0.5,64.7,76.95,28.0,1.2,70.0
"M48x3",3.0,0.5,69.45,82.6,30.0,1.6,75.0
"(M52x4)",4.0,0.5,74.2,88.25,33.0,1.6,80.0
"M56x4",4.0,0.5,78.66,93.56,35.0,2.0,85.0
"(M60x4)",4.0,0.5,83.41,99.21,38.0,2.0,90.0
"M64x4",4.0,0.5,88.6,104.86,40.0,2.0,95.0
