"ISO8676length"
"Nominal","Min","Max"
"16",15.65,16.35
"20",19.58,20.42
"25",24.58,25.42
"30",29.58,30.42
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.4,55.6
"60",59.4,60.6
"65",64.4,65.6
"70",69.4,70.6
"80",79.4,80.6
"90",89.3,90.7
"100",99.3,100.7
"110",109.3,110.7
"120",119.3,120.7
"130",129.2,130.8
"140",139.2,130.8
"150",149.2,150.8
"160",159.2,160.8
"180",179.2,180.8
"200",199.1,200.9
"220",219.1,220.9
"240",239.1,240.9
"260",259.1,260.9
"280",279.1,280.9
"300",299.0,301.0
"320",319.0,321.0
"340",339.0,341.0
"360",359.0,361.0
"380",379.0,381.0
"400",398.1,401.1
"420",418.1,421.1
"440",438.1,441.1
"460",458.1,461.1
"480",478.1,481.1
"500",498.1,501.1
