"ISO8736def"
"Dia","d_1","a","d_2","P","d_3","t_1","t_2","t_3"
"6 mm",6,0.8,4,0.7,4.3,6,10,1
"8 mm",8,1,5,0.8,5.3,8,12,1.2
"10 mm",10,1.2,6,1,6.4,10,16,1.2
"12 mm",12,1.6,8,1.25,8.4,12,20,1.2
"16 mm",16,2,10,1.5,10.5,16,25,1.5
"20 mm",20,2.5,12,1.75,13,18,28,1.5
"25 mm",25,3,16,2,17,24,35,2
"30 mm",30,4,20,2.5,21,30,40,2
"40 mm",40,5,20,2.5,21,30,40,2.5
"50 mm",50,6.3,24,3,25,36,50,2.5

"ISO8736length"
"nom","min","max"
"16",15.5,16.5
"18",17.5,18.5
"20",19.5,20.5
"22",21.5,22.5
"24",23.5,24.5
"26",25.5,26.5
"28",27.5,28.5
"30",29.5,30.5
"32",31.5,32.5
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.25,55.75
"60",59.25,60.75
"65",64.25,65.75
"70",69.25,70.75
"75",74.25,75.75
"80",79.25,80.75
"85",84.25,85.75
"90",89.25,90.75
"95",94.25,95.75
"100",99.25,100.75
"120",119.25,120.75
"140",139.25,140.75
"160",159.25,160.75
"180",179.25,180.75
"200",199.25,200.75

"ISO8736range"
"Dia","min_L","max_L"
"6 mm","16","60"
"8 mm","18","80"
"10 mm","22","100"
"12 mm","26","120"
"16 mm","32","160"
"20 mm","40","200"
"25 mm","50","200"
"30 mm","60","200"
"40 mm","80","200"
"50 mm","100","200"
