"ISO8737def"
"Dia","d_1","a","b","d_2","P","d_3","z"
"5 mm",5,2.4,14.8,5,0.8,3.375,1.375
"6 mm",6,3,19,6,1,3.85,1.625
"8 mm",8,4,23.25,8,1.25,5.35,2.125
"10 mm",10,4.5,25.5,10,1.5,6.8,2.625
"12 mm",12,5.3,28.75,12,1.75,8.3,3.125
"16 mm",16,6,37,16,2,11.75,4.15
"20 mm",20,6,37,16,2,11.75,4.15
"25 mm",25,7.5,42.5,20,2.5,14.75,5.15
"30 mm",30,9,49,24,3,17.75,6.15
"40 mm",40,10.5,61.5,30,3.5,22.75,7.25
"50 mm",50,12,74,36,4,27.75,9.2

"ISO8737length"
"nom","min","max"
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.25,55.75
"60",59.25,60.75
"65",64.25,65.75
"75",74.25,75.75
"80",79.25,80.75
"85",84.25,85.75
"100",99.25,100.75
"120",119.25,120.75
"140",139.25,140.75
"160",159.25,160.75
"190",189.25,190.75
"220",219,221
"260",259,261
"280",279,281
"320",319,321
"360",359,361
"400",399,401

"ISO8737range"
"Dia","min_L","max_L"
"5 mm","40","50"
"6 mm","45","60"
"8 mm","55","75"
"10 mm","65","100"
"12 mm","85","120"
"16 mm","100","160"
"20 mm","120","190"
"25 mm","140","250"
"30 mm","160","280"
"40 mm","190","320"
"50 mm","220","400"
