"ISO8746def"
"Dia","d_1_max","d_1_min","d_k_max","d_k_min","k_max","k_min","r","c"
"1.4 mm",1.4,1.35,2.6,2.2,0.9,0.7,1.4,0.42
"1.6 mm",1.6,1.55,3,2.6,1.1,0.9,1.6,0.48
"2 mm",2,1.95,3.7,3.3,1.3,1.1,1.9,0.6
"2.5 mm",2.5,2.425,4.6,4.2,1.6,1.4,2.4,0.75
"3 mm",3,2.925,5.45,4.95,1.95,1.65,2.8,0.9
"4 mm",4,3.9,7.75,6.75,2.55,2.25,3.8,1.2
"5 mm",5,4.9,9.1,8.5,3.15,2.85,4.6,1.5
"6 mm",6,5.9,10.8,10.2,3.75,3.45,5.7,1.8
"8 mm",8,7.85,14.4,13.6,5,4.6,7.5,2.4
"10 mm",10,9.85,16,14.9,7.4,6.5,8,3
"12 mm",12,11.8,19,17.7,8.4,7.5,9.5,3.6
"16 mm",16,15.8,25,23.7,10.9,10,13,4.8
"20 mm",20,19.8,32,30.7,13.9,13,16.5,6
