"ISO8747def"
"Dia","d_1_max","d_1_min","d_k_max","d_k_min","d_2","c"
"1.4 mm",1.4,1.35,2.7,2.3,1.5,0.42
"1.6 mm",1.6,1.55,3,2.6,1.7,0.48
"2 mm",2,1.95,3.7,3.3,2.15,0.6
"2.5 mm",2.5,2.425,4.6,4.2,2.7,0.75
"3 mm",3,2.925,5.45,4.95,3.2,0.9
"4 mm",4,3.9,7.25,6.75,4.25,1.2
"5 mm",5,4.9,9.1,8.5,5.25,1.5
"6 mm",6,5.9,10.8,10.2,6.3,1.8
"8 mm",8,7.85,14.4,13.6,8.3,2.4
"10 mm",10,9.85,16,14.9,10.35,3
"12 mm",12,11.8,19,17.7,12.35,3.6
"16 mm",16,15.8,26,23.7,16.4,4.8
"20 mm",20,19.8,31.5,30.7,20.5,6

"ISO8747range"
"Dia","min_L","max_L"
"1.4 mm","3","6"
"1.6 mm","3","8"
"2 mm","4","10"
"2.5 mm","4","12"
"3 mm","5","16"
"4 mm","6","20"
"5 mm","8","25"
"6 mm","8","30"
"8 mm","10","40"
"10 mm","12","40"
"12 mm","16","40"
"16 mm","20","40"
"20 mm","25","40"
