"ISO8752def"
"Dia","d_1","d_2","a","s"
"1 mm",1.25,0.8,0.25,0.2
"1.5 mm",1.75,1.1,0.35,0.3
"2 mm",2.35,1.5,0.45,0.4
"2.5 mm",2.85,1.8,0.5,0.5
"3 mm",3.4,2.1,0.6,0.6
"3.5 mm",3.9,2.3,0.7,0.75
"4 mm",4.5,2.8,0.75,0.8
"4.5 mm",5,2.9,0.9,1
"5 mm",5.5,3.4,1,1
"6 mm",6.55,4,1.3,1.2
"8 mm",8.65,5.5,1.8,1.5
"10 mm",10.65,6.5,2.2,2

"ISO8752length"
"nom","min","max"
"4",3.75,4.25
"5",4.75,5.25
"6",5.75,6.25
"8",7.75,8.25
"10",9.75,10.25
"12",11.5,12.5
"14",13.5,14.5
"16",15.5,16.5
"18",17.5,18.5
"20",19.5,20.5
"22",21.5,22.5
"24",23.5,24.5
"26",25.5,26.5
"28",27.5,28.5
"30",29.5,30.5
"32",31.5,32.5
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.25,55.75
"60",59.25,60.75
"65",64.25,65.75
"70",69.25,70.75
"75",74.25,75.75
"80",79.25,80.75
"85",84.25,85.75
"90",89.25,90.75
"95",94.25,95.75
"100",99.25,100.75
"120",119.25,120.75
"140",139.25,140.75
"160",159.25,160.75
"180",179.25,180.75
"200",199.25,200.75

"ISO8752range"
"Dia","min_L","max_L"
"1 mm","4","20"
"1.5 mm","4","20"
"2 mm","4","30"
"2.5 mm","4","30"
"3 mm","4","40"
"3.5 mm","4","40"
"4 mm","4","50"
"4.5 mm","5","50"
"5 mm","5","80"
"6 mm","10","100"
"8 mm","10","120"
"10 mm","10","160"
