"ISO8765def"
"Dia","P","b_1","b_2","b_3","c_max","c_min","d_a_max","d_s_nom_max","d_s_min_A","d_s_min_B","d_w_min_A","d_w_min_B","e_min_A","e_min_B","l_f_max","k_nom","k_max_A","k_min_A","k_max_B","k_min_B","k_w_min_A","k_w_min_B","r_min","s_nom_max","s_min_A","s_min_B"
"M8x1",1,22,28,41,0.6,0.15,9.2,8,7.78,7.64,11.63,11.47,14.38,14.2,2,5.3,5.45,5.15,5.54,5.06,3.61,3.54,0.4,13,12.73,12.57
"M10x1",1,26,32,45,0.6,0.15,11.2,10,9.78,9.64,14.63,14.47,17.77,17.59,2,6.4,6.58,6.22,6.69,6.11,4.35,4.28,0.4,16,15.73,15.57
"(M10x1.25)",1.25,26,32,45,0.6,0.15,11.2,10,9.78,9.64,14.63,14.47,17.77,17.59,2,6.4,6.58,6.22,6.69,6.11,4.35,4.28,0.4,16,15.73,15.57
"M12x1.5",1.5,30,36,49,0.6,0.15,13.7,12,11.73,11.57,16.63,16.47,20.03,19.85,3,7.5,7.68,7.32,7.79,7.21,5.12,5.05,0.6,18,17.73,17.57
"(M12x1.25)",1.25,30,36,49,0.6,0.15,13.7,12,11.73,11.57,16.63,16.47,20.03,19.85,3,7.5,7.68,7.32,7.79,7.21,5.12,5.05,0.6,18,17.73,17.57
"(M14x1.5)",1.5,34,40,57,0.6,0.15,15.7,14,13.73,13.54,19.37,19.15,23.36,22.78,3,8.8,8.98,8.62,9.09,8.51,6.03,5.96,0.6,21,20.67,20.16
"M16x1.5",1.5,38,44,57,0.8,0.2,17.7,16,15.73,15.57,22.49,22,26.75,26.17,3,10,10.18,9.82,10.29,9.71,6.87,6.8,0.6,24,23.67,23.16
"(M18x1.5)",1.5,42,48,61,0.8,0.2,20.2,18,17.73,17.57,25.34,24.85,30.14,29.56,3,11.5,11.715,11.285,11.85,11.15,7.9,7.81,0.6,27,26.67,26.16
"M20x1.5",1.5,46,52,65,0.8,0.2,22.4,20,19.67,19.48,28.19,27.7,33.53,32.95,4,12.5,12.715,12.285,12.85,12.15,8.6,8.51,0.8,30,29.67,29.16
"(M20x2)",2,46,52,65,0.8,0.2,22.4,20,19.67,19.48,28.19,27.7,33.53,32.95,4,12.5,12.715,12.285,12.85,12.15,8.6,8.51,0.8,30,29.67,29.16
"(M22x1.5)",1.5,50,56,69,0.8,0.2,24.4,22,21.67,21.48,31.71,31.35,37.72,37.29,4,14,14.215,13.785,14.35,13.65,9.65,9.56,0.8,34,33.38,33
"M24x2",2,54,60,73,0.8,0.2,26.4,24,23.67,23.48,33.61,33.25,39.98,39.55,4,15,15.215,14.785,15.35,14.65,10.35,10.26,0.8,36,35.38,35
"(M27x2)",2,60,66,79,0.8,0.2,30.4,27,0,26.48,0,38,0,45.2,6,17,0,0,17.35,16.65,0,11.66,1,41,0,40
"M30x2",2,66,72,85,0.8,0.2,33.4,30,0,29.48,0,42.75,0,50.85,6,18.7,0,0,19.12,18.28,0,12.8,1,46,0,45
"(M33x2)",2,0,78,91,0.8,0.2,36.4,33,0,32.38,0,46.55,0,55.37,6,21,0,0,21.42,20.58,0,14.41,1,50,0,49
"M36x3",3,0,84,97,0.8,0.2,39.4,36,0,35.38,0,51.11,0,60.79,6,22.5,0,0,22.92,22.08,0,15.46,1,55,0,53.8
"(M39x3)",3,0,90,103,1,0.3,42.4,39,0,38.38,0,55.86,0,66.44,6,25,0,0,25.42,24.58,0,17.21,1,60,0,58.8
"M42x3",3,0,96,109,1,0.3,45.6,42,0,41.38,0,59.95,0,71.3,8,26,0,0,26.42,25.58,0,17.91,1.2,65,0,63.1
"(M45x3)",3,0,102,115,1,0.3,48.6,45,0,44.38,0,64.7,0,76.95,8,28,0,0,28.42,27.58,0,19.31,1.2,70,0,68.1
"M48x3",3,0,108,121,1,0.3,52.6,48,0,47.38,0,69.45,0,82.6,10,30,0,0,30.42,29.58,0,20.71,1.6,75,0,73.1
"(M52x4)",4,0,116,129,1,0.3,56.6,52,0,51.26,0,74.2,0,88.25,10,33,0,0,33.5,32.5,0,22.75,1.6,80,0,78.1
"M56x4",4,0,0,137,1,0.3,63,56,0,55.26,0,78.66,0,93.56,12,35,0,0,35.5,34.5,0,24.15,2,85,0,82.8
"(M60x4)",4,0,0,145,1,0.3,67,60,0,59.26,0,83.41,0,99.21,12,38,0,0,38.5,37.5,0,26.25,2,90,0,87.8
"M64x4",4,0,0,153,1,0.3,71,64,0,63.26,0,88.16,0,104.86,13,40,0,0,40.5,39.5,0,27.65,2,95,0,92.8

"ISO8765length"
"nom","min","max"
"30",29.58,30.42
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.4,55.6
"60",59.4,60.6
"65",64.4,65.6
"70",69.4,70.6
"80",79.4,80.6
"90",89.3,90.7
"100",99.3,100.7
"110",109.3,110.7
"120",119.3,120.7
"130",129.2,130.8
"140",139.2,130.8
"150",149.2,150.8
"160",159.2,160.8
"180",179.2,180.8
"200",199.1,200.9
"220",219.1,220.9
"240",239.1,240.9
"260",259.1,260.9
"280",279.1,280.9
"300",299,301
"320",319,321
"340",339,341
"360",359,361
"380",379,381
"400",398.1,401.1
"420",418.1,421.1
"440",438.1,441.1
"460",458.1,461.1
"480",478.1,481.1
"500",498.1,501.1

"ISO8765range"
"Dia","min_L","max_L"
"M8x1","40","80"
"M10x1","45","100"
"(M10x1.25)","45","100"
"M12x1.5","50","120"
"(M12x1.25)","50","120"
"(M14x1.5)","60","140"
"M16x1.5","65","160"
"(M18x1.5)","70","180"
"M20x1.5","80","200"
"(M20x2)","80","200"
"(M22x1.5)","90","220"
"M24x2","100","240"
"(M27x2)","110","260"
"M30x2","120","300"
"(M33x2)","130","320"
"M36x3","140","360"
"(M39x3)","150","380"
"M42x3","160","440"
"(M45x3)","180","440"
"M48x3","200","480"
"(M52x4)","200","480"
"M56x4","220","500"
"(M60x4)","240","500"
"M64x4","260","500"
