"SAEJ483a1def"
"Dia.","TPI","F","A","H","Q","U"
"#6",32,0.3125,0.3,0.34,0.16,0.16
"#8",32,0.3125,0.3,0.34,0.16,0.16
"#10",24,0.375,0.36,0.41,0.19,0.19
"#12",24,0.375,0.36,0.41,0.19,0.22
"1/4in",20,0.4375,0.41,0.47,0.22,0.25
"5/16in",18,0.5,0.47,0.53,0.25,0.31
"3/8in",16,0.5625,0.53,0.62,0.28,0.38
"7/16in",14,0.625,0.59,0.69,0.31,0.44
"1/2in",13,0.75,0.72,0.81,0.38,0.5
"9/16in",12,0.875,0.84,0.94,0.44,0.56
"5/8in",11,0.9375,0.91,1,0.47,0.62
"3/4in",10,1.0625,1.03,1.16,0.53,0.75
"7/8in",9,1.25,1.22,1.36,0.62,0.88
"1in",8,1.4375,1.41,1.55,0.72,1
"1 1/8in",7,1.625,1.59,1.75,0.81,1.12
"1 1/4in",7,1.8125,1.78,1.95,0.91,1.25
