"Size","Pitch"
"#0",0.3175
"#1",0.396875
"#2",0.453571428571429
"#3",0.529166666666667
"#4",0.635
"#5",0.635
"#6",0.79375
"#8",0.79375
"#10",1.05833333333333
"#12",1.05833333333333
"1/4in",1.27
"5/16in",1.41111111111111
"3/8in",1.5875
"7/16in",1.81428571428571
"1/2in",1.95384615384615
"9/16in",2.11666666666667
"5/8in",2.30909090909091
"3/4in",2.54
"7/8in",2.82222222222222
"1in",3.175
"1 1/8in",3.62857142857143
"1 1/4in",3.62857142857143
"1 3/8in",4.23333333333333
"1 1/2in",4.23333333333333
"1 5/8in",0.216535433070866
"1 3/4in",5.08
"1 7/8in",5.08
"2in",5.64444444444444
"2 1/4in",5.64444444444444
"2 1/2in",6.35
"2 3/4in",6.35
"3in",6.35
"3 1/4in",6.35
"3 1/2in",6.35
"3 3/4in",6.35
"4in",6.35
